question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""15-304 Amazon API Gateway"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",15-304 Amazon API Gateway,A,AWS Certificate Manager ou ACM,Amazon S3 no,Amazon Cognito,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""15-304 Amazon API Gateway"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",15-304 Amazon API Gateway,B,Amazon Cognito,AWS Certificate Manager ou ACM,Amazon S3 no,Amazon S3
"A aula ""15-304 Amazon API Gateway"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",15-304 Amazon API Gateway,A,Verdadeiro,Falso,,
"No contexto de ""15-304 Amazon API Gateway"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",15-304 Amazon API Gateway,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""15-304 Amazon API Gateway"", qual prática costuma ser mais recomendada?",15-304 Amazon API Gateway,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""15-304 Amazon API Gateway""?",15-304 Amazon API Gateway,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""15-304 Amazon API Gateway"", qual decisão melhora observabilidade operacional?",15-304 Amazon API Gateway,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""15-304 Amazon API Gateway"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",15-304 Amazon API Gateway,B,Amazon S3,Amazon S3 no,AWS IAM,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""15-304 Amazon API Gateway"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",15-304 Amazon API Gateway,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""15-304 Amazon API Gateway"" em pipelines de dados?",15-304 Amazon API Gateway,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
